,id,standard_drug_name,gene,dataset,cancer_type,pvalue,effect_size,provided_pvalue,provided_effect_size,n_mut,n_wt,provided_n_mut,provided_n_wt
209,43538079,3-Cl-AHPC,RDM1,All,pancan,0.1425,-1.46655,,,13,695,,
210,43538080,3-Cl-AHPC,KLHL3,All,pancan,0.0965753,-1.66169,,,14,694,,
211,43538081,3-Cl-AHPC,RIT2,All,pancan,0.116284,-1.57057,,,13,695,,
212,43538082,3-Cl-AHPC,FOXN3,All,pancan,0.390426,-0.858845,,,22,686,,
213,43538083,3-Cl-AHPC,ANKFN1,All,pancan,0.0160489,-2.4078,,,50,658,,
214,43538084,3-Cl-AHPC,ZNF569,All,pancan,0.495893,0.680966,,,29,679,,
215,43538085,3-Cl-AHPC,AP5B1,All,pancan,0.653612,0.44875,,,37,671,,
216,43538086,3-Cl-AHPC,SERPINF1,All,pancan,0.0407585,-2.04598,,,27,681,,
217,43538087,3-Cl-AHPC,MYOZ2,All,pancan,0.362353,0.910891,,,29,679,,
218,43538088,3-Cl-AHPC,FRMD4A,All,pancan,0.0118232,-2.51738,,,40,668,,
219,43538089,3-Cl-AHPC,NAP1L1,All,pancan,0.519738,-0.643749,,,15,693,,
220,43538090,3-Cl-AHPC,SCN1A,All,pancan,0.323804,0.98667,,,69,639,,
221,43538091,3-Cl-AHPC,KIAA1755,All,pancan,0.866917,-0.167576,,,74,634,,
222,43538092,3-Cl-AHPC,CCNYL1,All,pancan,0.135914,-1.49118,,,13,695,,
223,43538093,3-Cl-AHPC,SAMD8,All,pancan,0.330146,-0.973819,,,13,695,,
224,43538094,3-Cl-AHPC,TLR6,All,pancan,0.662795,-0.436057,,,74,634,,
225,43538095,3-Cl-AHPC,OR52K2,All,pancan,0.229513,-1.20162,,,33,675,,
226,43538096,3-Cl-AHPC,SUCLG2,All,pancan,0.770736,0.291412,,,31,677,,
227,43538097,3-Cl-AHPC,ZSCAN32,All,pancan,0.16959,1.37352,,,29,679,,
228,43538098,3-Cl-AHPC,ZNF224,All,pancan,0.0802493,-1.74924,,,41,667,,
229,43538099,3-Cl-AHPC,PDGFRB,All,pancan,0.558934,-0.584426,,,64,644,,
230,43538100,3-Cl-AHPC,CAPN5,All,pancan,0.63916,0.468873,,,30,678,,
231,43538101,3-Cl-AHPC,TAX1BP1,All,pancan,0.949924,0.0628026,,,32,676,,
232,43538102,3-Cl-AHPC,CTDP1,All,pancan,0.357055,-0.920992,,,35,673,,
233,43538103,3-Cl-AHPC,SLC25A46,All,pancan,0.411854,-0.820636,,,10,698,,
234,43538104,3-Cl-AHPC,BTBD8,All,pancan,0.117116,-1.567,,,60,648,,
235,43538105,3-Cl-AHPC,L2HGDH,All,pancan,0.978879,0.0264749,,,22,686,,
236,43538106,3-Cl-AHPC,NMT1,All,pancan,0.554231,-0.591432,,,15,693,,
237,43538107,3-Cl-AHPC,COQ9,All,pancan,0.746421,0.323363,,,14,694,,
238,43538108,3-Cl-AHPC,OR12D3,All,pancan,0.0752134,1.77916,,,16,692,,
239,43538109,3-Cl-AHPC,KRTAP10-9,All,pancan,0.696965,-0.38942,,,39,669,,
240,43538110,3-Cl-AHPC,SLC35G5,All,pancan,0.459196,0.740171,,,40,668,,
241,43538111,3-Cl-AHPC,TWNK,All,pancan,0.799595,0.253872,,,17,691,,
242,43538112,3-Cl-AHPC,DCBLD2,All,pancan,0.950998,0.0614537,,,33,675,,
243,43538113,3-Cl-AHPC,NTM,All,pancan,0.814391,-0.234765,,,28,680,,
244,43538114,3-Cl-AHPC,ZMYM6,All,pancan,0.606917,0.514479,,,38,670,,
245,43538115,3-Cl-AHPC,ADAD2,All,pancan,0.926733,-0.0919564,,,34,674,,
246,43538116,3-Cl-AHPC,EML3,All,pancan,0.999393,0.000761127,,,44,664,,
247,43538117,3-Cl-AHPC,WDPCP,All,pancan,0.106061,1.61616,,,27,681,,
248,43538118,3-Cl-AHPC,FEM1B,All,pancan,0.998222,0.00222867,,,11,697,,
249,43538119,3-Cl-AHPC,WWC3,All,pancan,0.458596,-0.741162,,,48,660,,
250,43538120,3-Cl-AHPC,ANKRD26,All,pancan,0.907422,-0.116291,,,66,642,,
251,43538121,3-Cl-AHPC,CRYBG2,All,pancan,0.855758,-0.181777,,,124,584,,
252,43538122,3-Cl-AHPC,SND1,All,pancan,0.926027,0.0928442,,,36,672,,
253,43538123,3-Cl-AHPC,MYO7A,All,pancan,0.170493,-1.37062,,,131,577,,
254,43538124,3-Cl-AHPC,RGL1,All,pancan,0.34089,-0.952408,,,37,671,,
255,43538125,3-Cl-AHPC,SFXN1,All,pancan,0.133784,-1.49935,,,14,694,,
256,43538126,3-Cl-AHPC,ZDHHC6,All,pancan,0.647338,-0.457463,,,16,692,,
257,43538127,3-Cl-AHPC,CRHR1,All,pancan,0.776164,0.284321,,,21,687,,
258,43538128,3-Cl-AHPC,EXOSC8,All,pancan,0.156718,1.4162,,,14,694,,
259,43538129,3-Cl-AHPC,MOV10,All,pancan,0.538736,-0.614726,,,28,680,,
260,43538130,3-Cl-AHPC,PCMT1,All,pancan,0.336775,-0.960557,,,11,697,,
261,43538131,3-Cl-AHPC,EXOC3L2,All,pancan,0.721781,0.356079,,,16,692,,
262,43538132,3-Cl-AHPC,PTPRG,All,pancan,0.345032,-0.94427,,,54,654,,
263,43538133,3-Cl-AHPC,UGT1A1,All,pancan,0.192937,1.30194,,,75,633,,
264,43538134,3-Cl-AHPC,FCRLA,All,pancan,0.0298697,-2.17181,,,39,669,,
265,43538135,3-Cl-AHPC,PRPF4,All,pancan,0.429285,0.790415,,,13,695,,
266,43538136,3-Cl-AHPC,STPG3,All,pancan,0.223852,1.21635,,,26,682,,
267,43538137,3-Cl-AHPC,OR4N5,All,pancan,0.390354,-0.858976,,,43,665,,
268,43538138,3-Cl-AHPC,DEFB115,All,pancan,0.968205,0.0398594,,,12,696,,
269,43538139,3-Cl-AHPC,RSRP1,All,pancan,0.745414,0.324692,,,17,691,,
270,43538140,3-Cl-AHPC,GPRASP1,All,pancan,0.891379,-0.136559,,,43,665,,
271,43538141,3-Cl-AHPC,HCFC1,All,pancan,0.569545,0.568722,,,53,655,,
