,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
763,3-Cl-AHPC,SNU-601,All,CTRP2,16,0.002,66.0,0.905863,4.0935,0.824188,0.971858,34.4988,0.0664017
764,3-Cl-AHPC,SNU-C4,All,CTRP2,16,0.002,66.0,2.23729,5.98292,1.90622,0.903199,26.5039,0.0687918
765,3-Cl-AHPC,T-47D,All,CTRP2,16,0.002,66.0,5.0874,12.2733,2.10039,0.572637,18.2281,0.0457952
766,3-Cl-AHPC,T84,All,CTRP2,16,0.002,66.0,0.248078,3.41708,0.197143,0.982344,38.7709,0.074749
767,3-Cl-AHPC,TE-14,All,CTRP2,16,0.002,66.0,1.68206,3.308,1.678,0.997255,29.0761,0.0670756
768,3-Cl-AHPC,U266B1,All,CTRP2,16,0.002,66.0,0.667618,4.04308,0.577527,0.970687,36.106,0.0689035
769,3-Cl-AHPC,42-MG-BA,All,CTRP2,16,0.002,66.0,0.061999,2.98026,0.0329366,0.98906,39.9431,0.0450945
770,3-Cl-AHPC,BT139,All,CTRP2,16,0.002,66.0,8.04414,18.383,1.452,0.395324,14.9374,0.0936747
771,3-Cl-AHPC,BT159,All,CTRP2,16,0.002,66.0,7.49818,19.5288,0.472151,0.434009,19.0018,0.0607576
772,3-Cl-AHPC,BT228,All,CTRP2,16,0.002,66.0,5.68559,13.7773,1.87499,0.524338,17.7756,0.076487
773,3-Cl-AHPC,BT231,All,CTRP2,16,0.002,66.0,3.53191,10.4182,1.52495,0.690329,24.0927,0.0533652
774,3-Cl-AHPC,BT239,All,CTRP2,16,0.002,66.0,2.09814,6.9961,1.44478,0.854494,28.5224,0.0990658
775,3-Cl-AHPC,BT-474,All,CTRP2,16,0.002,66.0,4.97962,7.97986,4.09102,0.685634,10.5266,0.102703
776,3-Cl-AHPC,COV434,All,CTRP2,16,0.002,66.0,0.588861,4.65792,0.403773,0.950069,36.9068,0.0660605
777,3-Cl-AHPC,DND-41,All,CTRP2,16,0.002,66.0,-1.63582,0.345544,-1.63618,0.9998,51.1661,0.0446743
778,3-Cl-AHPC,G-292CLONEA141B1,All,CTRP2,16,0.002,66.0,0.322969,4.51795,0.141174,0.952426,38.6393,0.0849987
779,3-Cl-AHPC,HCC2218,All,CTRP2,16,0.002,66.0,4.88289,10.2353,2.9167,0.616995,15.5198,0.323383
780,3-Cl-AHPC,HS766T,All,CTRP2,16,0.002,66.0,3.50104,5.75097,3.34302,0.922996,17.4908,0.0410713
781,3-Cl-AHPC,KMRC-3,All,CTRP2,16,0.002,66.0,1.07156,6.26752,0.55485,0.891182,34.7204,0.074849
782,3-Cl-AHPC,M-07E,All,CTRP2,16,0.002,66.0,-2.19013,-1.41876,-2.19013,1.0,54.8596,0.049518
783,3-Cl-AHPC,NCI-H1651,All,CTRP2,16,0.002,66.0,0.791206,5.12831,0.53307,0.934706,35.792,0.0695276
784,3-Cl-AHPC,SK-BR-3,All,CTRP2,16,0.002,66.0,0.923632,6.28948,0.387143,0.890598,35.7192,0.0780045
785,3-Cl-AHPC,SNU-1033,All,CTRP2,16,0.002,66.0,1.79178,6.94122,1.13081,0.859912,30.5303,0.0504447
786,3-Cl-AHPC,URD-B,All,CTRP2,16,0.002,66.0,0.281897,4.23942,0.14065,0.96081,38.7998,0.0469315
787,3-Cl-AHPC,AML-193,All,CTRP2,16,0.002,66.0,-2.14713,-0.822541,-2.14713,0.999999,54.5731,0.126697
788,3-Cl-AHPC,HGC-27,All,CTRP2,16,0.002,66.0,-0.89933,1.6439,-0.905059,0.997525,46.272,0.0557802
789,3-Cl-AHPC,HS578BST,All,CTRP2,16,0.002,66.0,5.35853,6.21056,5.24473,0.854298,4.97612,0.0918023
790,3-Cl-AHPC,HS688(A).T,All,CTRP2,16,0.002,66.0,7.46378,8.56719,5.68165,0.0559134,0.192499,0.120379
791,3-Cl-AHPC,HUT78,All,CTRP2,16,0.002,66.0,-0.592853,1.76827,-0.597309,0.997927,44.2302,0.113861
